#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags
1018	M+H	78513	1	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf1018	N/A	N/A	HCD	Positive	ESI	399.251	lib-00032.mgf	Bronze	3	0.931652	0.305748	0.00012207	1	GNPS-NIST14-MATCHES	Data from Nediljko Budisa	399.251	N/A	0	10	N/A	1	399.251	spectra/specs_ms.mgf	CCMSLIB00003136497	30059	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1019	[M+H]+	N/A	1	(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one	isolated	MoNA:VF-NPL-QEHF001231	0.0	spectra/specs_ms.mgf1019	InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-13,22,24-25H,1-2H3/b7-3+,8-4+,16-13-	N/A	ESI-QFT	positive	N/A	369.133	lib-00029.mgf	Bronze	3	0.903122	1.40545	0.000518799	1	MONA	MoNA	369.133	N/A	0	11	N/A	1	369.134	spectra/specs_ms.mgf	CCMSLIB00004692294	55326	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1030	M+Na	78513	1	Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14	Isolated	Data deposited by alchemistmatt	0.0	spectra/specs_ms.mgf1030	N/A	N/A	QqQ	Positive	ESI	421.231	lib-00032.mgf	Bronze	3	0.93344	4.27447	0.00180054	1	GNPS-NIST14-MATCHES	Data from Katrina Waters;Yoshihiro Kawaoka;Michael Diamond;Richard Smith;Thomas Metz	421.231	N/A	0	6	N/A	1	421.233	spectra/specs_ms.mgf	CCMSLIB00003136142	2556	UPDATE-SINGLE-ANNOTATED-BRONZE	 
114	M+H	N/A	1	"1,2,3,4-tetrahydroharmane-3-carboxylic acid"	Commercial	CASMI2016	0.0	spectra/specs_ms.mgf114	"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)"	 	qTof	Positive	LC-ESI	231.114	lib-00027.mgf	Gold	1	0.878526	5.61194	0.001297	1	CASMI	CASMI	231.114	73530	0	6	N/A	1	231.113	spectra/specs_ms.mgf	CCMSLIB00000579738	29900	UPDATE-SINGLE-ANNOTATED-GOLD	 
1151	2M+H	 	1	"(4R)-4-((3S,5R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-12-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	390.277	spectra/specs_ms.mgf1151	"InChI=1S/C24H38O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-20,25H,4-13H2,1-3H3,(H,27,28)/t14-,15-,16+,17+,18-,19+,20+,23+,24-/m1/s1"	N/A	qTof	Positive	ESI	781.561	lib-00001.mgf	Gold	1	0.832852	0.312376	0.000244141	1	BILELIB19	Dorrestein	781.561	 	0	14	[H][C@@]([C@@H]([C@@]12C)CC[C@@H]1[C@@H](CCC(O)=O)C)(CC[C@H]3[C@]4(C)CC[C@H](O)C3)[C@@H]4CC2=O	1	781.561	spectra/specs_ms.mgf	CCMSLIB00005464718	1.00098e+06	UPDATE-SINGLE-ANNOTATED-GOLD	 
1160	2M+H	 	1	"(R)-4-((3S,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	376.298	spectra/specs_ms.mgf1160	"InChI=1S/C24H40O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h15-21,25H,4-14H2,1-3H3,(H,26,27)/t15-,16-,17+,18+,19-,20+,21+,23+,24-/m1/s1"	N/A	qTof	Positive	ESI	753.603	lib-00001.mgf	Gold	1	0.964139	0.242973	0.000183105	1	BILELIB19	Dorrestein	753.603	 	0	21	C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)CC[C@@]3([H])[C@@]2([H])CC[C@@]4([H])[C@]3(C)CC[C@H](O)C4)CCC(O)=O	1	753.603	spectra/specs_ms.mgf	CCMSLIB00005465718	243274	UPDATE-SINGLE-ANNOTATED-GOLD	 
1163	M-2H2O+H	 	1	"(R)-4-((3S,5R,6S,7S,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	408.288	spectra/specs_ms.mgf1163	"InChI=1S/C24H40O5/c1-13(4-7-19(26)27)15-5-6-16-20-17(9-11-23(15,16)2)24(3)10-8-14(25)12-18(24)21(28)22(20)29/h13-18,20-22,25,28-29H,4-12H2,1-3H3,(H,26,27)/t13-,14+,15-,16+,17+,18+,20+,21+,22+,23-,24-/m1/s1"	N/A	qTof	Positive	ESI	373.274	lib-00001.mgf	Gold	1	0.877298	2.94323	0.00109863	1	BILELIB19	Dorrestein	373.274	 	0	14	C[C@@H]([C@H]1CC[C@]2([H])[C@]1(C)CC[C@@]3([H])[C@@]2([H])[C@H](O)[C@@H](O)[C@@]4([H])[C@]3(C)CC[C@H](O)C4)CCC(O)=O	1	373.273	spectra/specs_ms.mgf	CCMSLIB00005465746	34410	UPDATE-SINGLE-ANNOTATED-GOLD	 
1166	M+NH4	n/a	1	NCGC00380283-01!4-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentylamino]-4-oxobutanoic acid	isolated	lfnothias	460.253	spectra/specs_ms.mgf1166	InChI=1S/C20H36N4O8/c1-16(25)23(31)14-6-2-4-12-21-17(26)8-10-19(28)24(32)15-7-3-5-13-22-18(27)9-11-20(29)30/h31-32H,2-15H2,1H3,(H,21,26)(H,22,27)(H,29,30)	N/A	Maxis II HD Q-TOF Bruker	positive	LC-ESI	478.287	lib-00002.mgf	Gold	1	0.74819	12.5698	0.00601196	1	GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE	Jadhav/Dorrestein	478.287	n/a	0	8	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(O)=O	1	478.293	spectra/specs_ms.mgf	CCMSLIB00000845585	10505	UPDATE-SINGLE-ANNOTATED-GOLD	 
1167	M+H-H2O	5255174	1	Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14	Isolated	Data deposited by amelnik	0.0	spectra/specs_ms.mgf1167	N/A	N/A	HCD	Positive	ESI	357.279	lib-00032.mgf	Bronze	3	0.749014	2.22083	0.000793457	1	GNPS-NIST14-MATCHES	Data from P.Dorrestein	357.279	N/A	0	14	N/A	1	357.278	spectra/specs_ms.mgf	CCMSLIB00003135494	37200	UPDATE-SINGLE-ANNOTATED-BRONZE	 
1169	2M+Na	 	1	"(4R)-4-((5S,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"	crude	Emily Gentry	390.277	spectra/specs_ms.mgf1169	"InChI=1S/C24H38O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-15,17-20,22,26H,4-13H2,1-3H3,(H,27,28)/t14-,15-,17-,18+,19+,20-,22+,23+,24-/m1/s1"	N/A	qTof	Positive	ESI	803.543	lib-00001.mgf	Gold	1	0.850878	0.227873	0.000183105	1	BILELIB19	Dorrestein	803.543	 	0	12	[H][C@@]1([C@H](O)C[C@@H]2[C@]3(C)CCC(C2)=O)[C@@H]3CC[C@@]4(C)[C@H]1CC[C@@H]4[C@@H](CCC(O)=O)C	1	803.543	spectra/specs_ms.mgf	CCMSLIB00005465352	239758	UPDATE-SINGLE-ANNOTATED-GOLD	 
